,level_0,Unnamed: 0,index,team_name,team_id,color,logo,team_location
27,27,27,27,NEB,158,#d00000,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png,Nebraska
28,28,28,28,MIZ,142,#f1b82d,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,Missouri
29,29,29,29,SDAK,233,#CD1241,https://a.espncdn.com/i/teamlogos/ncaa/500/233.png,South Dakota
30,30,30,30,TLSA,202,#003595,https://a.espncdn.com/i/teamlogos/ncaa/500/202.png,Tulsa
31,31,31,31,UAPB,2029,#e0aa0f,https://a.espncdn.com/i/teamlogos/ncaa/500/2029.png,Arkansas-Pine Bluff
32,32,32,32,UAB,5,#003b28,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png,UAB
33,33,33,33,NCAT,2448,#0505aa,https://a.espncdn.com/i/teamlogos/ncaa/500/2448.png,North Carolina A&T
34,34,34,34,ASU,9,#8e0c3a,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,Arizona State
35,35,35,35,SUU,253,#c72026,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,Southern Utah
36,36,36,36,EMU,2199,#00331b,https://a.espncdn.com/i/teamlogos/ncaa/500/2199.png,Eastern Michigan
37,37,37,37,HOW,47,#003a63,https://a.espncdn.com/i/teamlogos/ncaa/500/47.png,Howard
38,38,38,38,MSU,127,#18453b,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,Michigan State
39,39,39,39,CMU,2117,#6a0032,https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,Central Michigan
40,40,40,40,MIA,2390,#005030,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,Miami
41,41,41,41,M-OH,193,#a4000c,https://a.espncdn.com/i/teamlogos/ncaa/500/193.png,Miami (OH)
42,42,42,42,GT,59,#003057,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,Georgia Tech
43,43,43,43,LOU,97,#c9001f,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,Louisville
44,44,44,44,KU,2305,#0051ba,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,Kansas
45,45,45,45,MOST,2623,#5F0000,https://a.espncdn.com/i/teamlogos/ncaa/500/2623.png,Missouri State
46,46,46,47,STAN,24,#8c1515,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,Stanford
47,47,47,48,UGA,61,#ba0c2f,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,Georgia
48,48,48,49,UTM,2630,#FF6700,https://a.espncdn.com/i/teamlogos/ncaa/500/2630.png,UT Martin
49,49,49,50,MICH,130,#00274c,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Michigan
50,50,50,51,ECU,151,#4b1869,https://a.espncdn.com/i/teamlogos/ncaa/500/151.png,East Carolina
